,K1,K2,Grey K1,Req. Dt,Derived From SO NO,Segment,Customer,Gry EDOD,Gry REDOD,Line Creation Dt.,DocNo.,Line No,Sch P/I Dt,Order Qty,Plan I/p Dt,SO No,SO Line no,SubSegment,K3,K4,K5,K6,Shade,Dely Dt1,Dely Dt,Lot Qty,Disp Planned,Bal to exe,Plan Qty,PPC Remark,LabRef.No,Peach Std.,Repeat Cops,Tech Remark,Final Dispo Comment,Marketing Comment,Exec. Closed,LabRef Check,KE Desc,Std Rec Dt,PP Comment,F370R001 Stock,F370B001 Stock,F380B001 Stock,F380B101 Stock,F350B001 Stock,F350B101 Stock,Baddi Stk,F400B001 Stock,F400B101 Stock,F340R001 Stock,Budhni Stk,Pref Factory,YD/PD,Factory,Grey Stock
318,14000748,BADDWJ,14000748BADDW,2/8/2021,,India Buying Houses,LINK UP TEXTILES PVT LTD,5/10/2021,5/10/2021,6/8/2021,BLS75_S75-21000217,30,6/10/2021,0,7/10/2021,,,GEORGE,CT+PNF,STDAWTD000,CT+PF,,,,,0,,"40,000","40,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,352,0,0,0,"1,898",0,"2,250","11,576","1,062",0,"12,637",21,PD,Budhni,81718.96
319,A160B551,BAMCBW,A160B551BAMCBW,29/07/2021,,Brands,MOHAN CLOTHING CO PVT LTD,31/10/2021,5/10/2021,29/07/2021,BLS75_S75-21000203,90,6/10/2021,0,7/10/2021,,,BLACK BERRY,ST-AM1,BRKUPAWTD0,,,,,,0,,"7,000","7,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,Baddi,199.0
320,A160B551,BAMCW,A160B551BAMCW,29/07/2021,,Brands,MOHAN CLOTHING CO PVT LTD,28/10/2021,7/10/2021,29/07/2021,BLS75_S75-21000203,100,8/10/2021,0,9/10/2021,,,BLACK BERRY,ST-AM1,BRKUPAWTD0,,,,,,0,,"9,000","9,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
321,11600109,BAOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,8/9/2021,29/05/2021,BLM75_M75-21000008,30,8/9/2021,0,10/10/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"5,441","5,441",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",21,PD,Baddi,19014.5
322,11600109,BAOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,8/9/2021,29/05/2021,BLM75_M75-21000008,30,8/9/2021,0,10/10/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"5,441","5,441",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",21,PD,Budhni,109145.88
323,240243,BD,240750BD,24/06/2021,,Distributor,ADINATH INDIA,25/08/2021,25/08/2021,26/08/2021,BLS81_S81-21000827,191,25/09/2021,500,10/10/2021,S81_S81-21000827,191,SOUTH BANGLORE,PC-SF,4000018689,,,sh 13,25/10/2021,500-25/10/2021,0,,500,500,Rpt order clr on 27 Aug/HF ok,,S81-20004340,BLS81_S81-20004340,OK,,Swapped With S81-21000965,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"40,973","2,359",-217,"43,114",22,PD,Budhni,70955.63
324,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,4/10/2021,3/6/2021,BLM75_M75-21000009,110,10/10/2021,0,11/10/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Baddi,19014.5
325,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,4/10/2021,3/6/2021,BLM75_M75-21000009,110,10/10/2021,0,11/10/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Budhni,109145.88
326,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,4/10/2021,3/6/2021,BLM75_M75-21000009,120,10/10/2021,0,12/10/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Baddi,19014.5
327,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,4/10/2021,3/6/2021,BLM75_M75-21000009,120,10/10/2021,0,12/10/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Budhni,109145.88
